,File,Aleph system no.,Country code,Language code (008),Language code (041),DDC,Personal-author_ORIGINAL,Personal-author_clean,Personal_author_title,Personal_author_years,Personal_author_pseudonym,Corporate author,Title_ORIGINAL,Title_clean,Title_clean_after_By,Title_clean_language_detected,Edition,Imprint_ORIGINAL,Location_clean,Date,Location_intermediate,Series,Subjects,Other personal authors,Other corporate authors,DOM ID,Type,Genre,Column
38254,poetry.xls,14811970,|||,und,,,"GRAHAM, George, Novelist.","Graham, George",Novelist,,,,Carstone Rectory. A story. [electronic resource],Carstone Rectory. A story.,,eng,,"London, 1860.",London,1860.0,London,,,,,lsidyv3acd802a -- lsidyv3acd8c08 -- lsidyv3b1e673e,story,Prose,
25092,nogenre.xlsx,14872348,|||,ger,,,"MENZEL, Gottfried.","Menzel, Gottfried",,,,,"Die Vereinigten Staaten von Nordamerika, mit besonderer Rücksicht auf deutsche Auswanderung dahin nach eigener Anschauung beschrieben. [electronic resource]","Die Vereinigten Staaten von Nordamerika, mit besonderer Rücksicht auf deutsche Auswanderung dahin nach eigener Anschauung beschrieben.",,ger,,"Berlin, 1853.",Berlin,1853.0,Berlin,,,,,lsidyv36cf690f,,,
44504,poetry.xls,14829846,|||,und,,,"SOLDENE, Emily.","Soldene, Emily",,,,,Young Mrs. Staples. [A novel.] [electronic resource],Young Mrs. Staples.,,eng,,"London : Downey & Co., 1896.",London,1896.0,London Downey,,,,,lsidyv3a432c4d,novel,Prose,
38214,poetry.xls,14811871,|||,und,,,"GORDON, Julien, pseud. [i.e. Julie Grinnell Cruger.]","Gordon, Julien",,,Julie Grinnell Cruger,,A Diplomat's Diary. [A novel.] [electronic resource],A Diplomat's Diary.,,eng,,"Philadelphia : J. B. Lippincott Co., 1890.",Philadelphia,1890.0,Philadelphia Lippincott,,,,,lsidyv39a13b96,novel,Prose,
29748,nogenre.xlsx,14912577,|||,fre,,,"PICTET DE SERGY, A. P. J.","Pictet De Sergy, A. P. J",,,,,"Genève, origine et développement de cette république, de ses lois, de ses mœurs et de son industrie. [electronic resource]","Genève, origine et développement de cette république, de ses lois, de ses mœurs et de son industrie.",,fre,,"Genève, 1845-47.",Genève,1845.0,Genève,,,,,lsidyv3e30f1a9,,,
43100,poetry.xls,14826644,|||,und,,,"Oliphant, Mrs. (Margaret), 1828-1897.","Oliphant, Mrs., Margaret",,1828-1897,,,[He that will not when He may. [A novel.]] [electronic resource],He that will not when He may.,,eng,New edition.,"London : Macmillan & Co., 1881.",London,1881.0,London Macmillan,,,,,lsidyv30ac4f74,novel,Prose,
45333,poetry.xls,14831900,|||,und,,,"WENTWORTH, Bernard.","Wentworth, Bernard",,,,,The Master of Hullingham Manor: a novel. [electronic resource],The Master of Hullingham Manor: a novel.,,eng,,"London : Digby and Long, [1897.].",London,1897.0,London Digby Long,,,,,lsidyv3a443f29,novel,Prose,
28922,nogenre.xlsx,14897053,|||,ger,,,,,,,,Historischer Verein von Nidwalden (STANS),"Nidwalden vor hundert Jahren. Eine Erinnerungschrift an den 9. September 1798. Herausgegeben vom historischen Verein von Nidwalden. (Redaktions Commission: Dr. R. Durrer, K. Engelberger, H. von Matt.). [electronic resource]",Nidwalden vor hundert Jahren. Eine Erinnerungschrift an den 9. September 1798. Herausgegeben vom historischen Verein von Nidwalden.,,ger,,"Stans, 1898.",Stans,1898.0,Stans,,,"DURRER, Robert. -- ENGELBERGER, Carl. -- MATT, Hans von, the Younger.",,lsidyv37ce9aba,,,
39119,poetry.xls,14813778,|||,und,,,,,,,,,The Hôtel du Petit St. Jean. A Gascon story ... [By C. L. H. Dempster.] Second edition. [electronic resource],The Hôtel du Petit St. Jean. A Gascon story... Second edition.,,fre,,"London : Smith, Elder & Co., 1870.",London,1870.0,London Smith Elder,,,"DEMPSTER, Charlotte Louisa Hawkins.",,lsidyv39607177,story,Prose,
22830,nogenre.xlsx,14866538,|||,fre,,,"Comettant, Oscar, 1819-1898.","Comettant, Oscar",,1819-1898,,,[L'Amérique telle qu'elle est. Voyage anecdotique de Marcel Bonneau dans le Nord et le Sud des États-Unis Excursion au Canada.] [electronic resource],L'Amérique telle qu'elle est. Voyage anecdotique de Marcel Bonneau dans le Nord et le Sud des États-Unis Excursion au Canada.,,fre,"[Another edition.] Voyage pittoresque et anecdotique dans le Nord et le Sud des États-Unis d'Amérique ... Dessins par MM. Saintin, Jules Noël [and others] ... Gravures par MM. Willmann, Outhwaite, etc.","Paris, 1866.",Paris,1866.0,Paris,,,"NOËL, Jules. -- OUTHWAITE, Artist. -- SAINTIN, E. -- WILLMANN, Ed., Engraver.",,lsidyv36c915f8,,,
41699,poetry.xls,14823230,|||,und,,,"NOTLEY, Frances Eliza Millett.","Notley, Frances Eliza Millett",,,,,Cordelia. A novel. [electronic resource],Cordelia. A novel.,,eng,,"London, 1879.",London,1879.0,London,,,,,lsidyv3b5f3e4c -- lsidyv3b5f2c26 -- lsidyv3b5f4b3a,novel,Prose,
