,File,Aleph system no.,Country code,Language code (008),Language code (041),DDC,Personal-author_ORIGINAL,Personal-author_clean,Personal_author_title,Personal_author_years,Personal_author_pseudonym,Corporate author,Title_ORIGINAL,Title_clean,Title_clean_after_By,Title_clean_language_detected,Edition,Imprint_ORIGINAL,Location_clean,Date,Location_intermediate,Series,Subjects,Other personal authors,Other corporate authors,DOM ID,Type,Genre,Column
44053,poetry.xls,14828792,|||,und,,,"S., J., of Dale.","S., J., Of Dale",,,,,Guerndale. An old story. By J. S. of Dale [i.e. Frederic Jessup Stimson]. [electronic resource],Guerndale. An old story.,By J. S. of Dale,eng,,"New York : C. Scribner’s Sons, 1884.",New-York,1884.0,New-York Scribner’s Sons,,,"STIMSON, Frederic Jessup.",,lsidyv3961d543,story,Prose,
7263,nogenre.xlsx,14807665,|||,und,,,"COLLINS, Charles James.","Collins, Charles James",,,,,Sackville Chase. [electronic resource],Sackville Chase.,,eng,,"London : J. Maxwell & Co., 1863.",London,1863.0,London Maxwell,,,,,lsidyv3b1fe364 -- lsidyv3ad91b64 -- lsidyv3ad90ba7,,,
13725,nogenre.xlsx,14825935,|||,und,,,"MORIER, James Justinian.","Morier, James Justinian",,,,,"The Adventures of Hajjî Baba of Ispahan ... Edited by C. J. Wills, M.D. With an introduction by ... Sir F. Goldsmid ... Illustrated. [electronic resource]","The Adventures of Hajjî Baba of Ispahan... Edited by C. J. Wills, M.D. With an introduction by... Sir F. Goldsmid... Illustrated.",,eng,,"London : Lawrence & Bullen, 1897.",London,1897.0,London Lawrence Bullen,,,"GOLDSMID, Frederic John, Sir. -- WILLS, Charles James.",,lsidyv396519a4,,,
46275,poetry.xls,14847133,|||,ita,,,"Davolio, Vincenzo.","Davolio, Vincenzo",,,,,"Memorie storiche della contea di Novellara, e dei Gonzaghi che vi dominarono. [With a genealogical chart and a map.] [electronic resource]","Memorie storiche della contea di Novellara, e dei Gonzaghi che vi dominarono.",,ita,,"Milano, 1833.",Milano,1833.0,Milano,,,,,lsidyv35e3338e,novel,Prose,
2103,music.xlsx,15742572,|||,eng,,,"ANDREWS, Christopher Columbus.","Andrews, Christopher Columbus",,,,,History of the Campaign of Mobile; including the co-operative operations of Gen. Wilson's Cavalry in Alabama ... With maps and illustrations. [electronic resource],History of the Campaign of Mobile; including the co-operative operations of Gen. Wilson's Cavalry in Alabama... With maps and illustrations.,,eng,,"New York : D. Van Nostrand, 1867.",New-York,1867.0,New-York Van Nostrand,,,"Wilson, James Harrison, 1837-1925.",,lsidyv38ad217f,opera,Music,
26665,nogenre.xlsx,14885172,|||,fre,,,"CHALLAMEL, Jean Baptiste Marie Augustin.","Challamel, Jean Baptiste Marie Augustin",,,,,Histoire de la liberté en France depuis les origines jusqu'en 1789. (Depuis 1789 jusqu'à nos jours.). [electronic resource],Histoire de la liberté en France depuis les origines jusqu'en 1789.,,fre,,"Paris, 1886.",Paris,1886.0,Paris,,,,,lsidyv37751cc0 -- lsidyv3774e491,,,
37600,poetry.xls,14810430,|||,und,,,"FAWCETT, Edgar.","Fawcett, Edgar",,,,,A New Nero: a realistic romance. [electronic resource],A New Nero: a realistic romance.,,eng,,"London : Ward, Lock & Bowden, 1894.",London,1894.0,London Ward Lock Bowden,,,,,lsidyv3a2f9e94,romance,Prose,
36908,poetry.xls,14808603,|||,eng,,,"Dancer, William.","Dancer, William",,,,,The Vicar of Ellismond. A novel. [electronic resource],The Vicar of Ellismond. A novel.,,eng,,"London : Digby, Long & Co., [1892.].",London,1892.0,London Digby Long,,,,,lsidyv38e582be,novel,Prose,
12416,nogenre.xlsx,14818670,|||,eng,,,"Martineau, Harriet, 1802-1876.","Martineau, Harriet",,1802-1876,,,Letters from Ireland ... Reprinted from the “Daily News.”. [electronic resource],Letters from Ireland... Reprinted from the “Daily News.”.,,eng,,"London, 1853.",London,1853.0,London,,,,,lsidyv3c38ae1e,,,
20739,nogenre.xlsx,14860425,|||,fre,,,"GALABERT, François.","Galabert, François",,,,,"Monographie d'Aucamville, Tarn-et-Garonne, etc. [electronic resource]","Monographie d'Aucamville, Tarn-et-Garonne, etc.",,fre,,"Montauban, 1890.",Montauban,1890.0,Montauban,,,,,lsidyv361de8fb,,,
